city,district,rooms,rent,address,construct_year,housing_type,on_sale,size
TURKU,Vähäheikkilä,1,656.00,Vähäheikkiläntie 37 A,2022,block_of_flats,False,31.00
VANTAA,Veromies,1,735.00,Perintötie 3 H,2021,block_of_flats,False,32.50
OULU,Limingantulli,3,1015.00,Rautatienkatu 72 B,2012,block_of_flats,False,66.50
HELSINKI,Maunula,2,977.00,Suonotkontie 4 B,1963,block_of_flats,False,50.50
TURKU,Kupittaa,1,710.00,Vanha Littoistentie 12 A,2018,block_of_flats,False,34.00
JYVÄSKYLÄ,Keskusta,2,858.00,Yliopistonkatu 18 C,1961,block_of_flats,False,49.50
HELSINKI,Pitäjänmäki,1,802.00,Kokkokalliontie 9 J,2014,block_of_flats,False,34.50
JÄRVENPÄÄ,Pajala,2,845.00,Kaskitie 1 B,2022,block_of_flats,False,46.50
ESPOO,Kauniainen,2,900.00,Ullanmäentie 10 C F,2021,block_of_flats,False,43.00
ESPOO,Suurpelto,2,850.00,Suurpellon puistokatu 14 B,2018,block_of_flats,False,48.00
LAHTI,Keskusta,1,618.00,Hämeenkatu 28 A,1945,block_of_flats,False,29.00
OULU,Laanila,2,737.00,Laamannintie 3 C,2001,block_of_flats,False,57.00
HELSINKI,Arabianranta,2,1055.00,Arabiankatu 4 B,2015,block_of_flats,False,46.50
HELSINKI,Pitäjänmäki,1,798.00,Kokkokalliontie 9 J,2014,block_of_flats,False,33.00
VANTAA,Kivistö,2,930.00,Timanttikuja 7 A,2023,block_of_flats,False,53.00
VANTAA,Kivistö,1,730.00,Timanttikuja 7 A,2023,block_of_flats,False,30.50
VANTAA,Kivistö,1,730.00,Timanttikuja 7 A,2023,block_of_flats,False,30.50
VANTAA,Kivistö,2,895.00,Timanttikuja 7 A,2023,block_of_flats,False,48.00
VANTAA,Kivistö,2,885.00,Timanttikuja 7 A,2023,block_of_flats,False,47.50
VANTAA,Kivistö,1,735.00,Timanttikuja 7 A,2023,block_of_flats,False,30.50
VANTAA,Kivistö,2,905.00,Timanttikuja 7 A,2023,block_of_flats,False,47.50
VANTAA,Kivistö,1,730.00,Timanttikuja 7 A,2023,block_of_flats,False,30.50
KUOPIO,Pirtti,2,715.00,Hautalahdenkatu 1 F,1994,block_of_flats,False,60.00
ESPOO,Niittykumpu,2,858.00,Malmiportti 4 A,2010,block_of_flats,False,49.00
ESPOO,Niittykumpu,2,1022.00,Niittysillankulma 2 E,2016,block_of_flats,False,51.00
ESPOO,Kauniainen,2,880.00,Ullanmäentie 10 C E,2021,block_of_flats,False,39.00
HELSINKI,Aurinkolahti,4,1700.00,Bertha Pauligin katu 1 B,2023,block_of_flats,False,88.50
LAHTI,Asemantausta,2,665.00,Nuolikatu 9 C,1992,block_of_flats,False,39.50
VANTAA,Kaivoksela,3,1127.00,Kaivokselantie 5c A,2018,block_of_flats,False,69.00
ESPOO,Finnoo,2,885.00,Syvänsalmenkatu 8 A,2022,block_of_flats,False,41.00
HELSINKI,Aurinkolahti,1,785.00,Jauhajankuja 2 C,2012,block_of_flats,False,32.50
KUOPIO,Puijonlaakso,3,1120.00,Taivaanpankontie 10 H A,2016,block_of_flats,False,72.50
ESPOO,Espoonlahti,1,729.00,Espoonlahdenkatu 10 as,2022,block_of_flats,False,27.00
HELSINKI,Kallio,1,949.00,Neljäs linja 3-5 D,1946,block_of_flats,False,42.40
VANTAA,Koivukylä,2,952.00,Norkkokuja 1 as,2021,block_of_flats,False,48.00
VAASA,Ristinummi,3,649.00,Vanhan Vaasan katu 12-14 H,1974,block_of_flats,False,81.50
ESPOO,Espoonlahti,3,1410.00,Maakravunkuja 2 as,2023,block_of_flats,False,67.50
HELSINKI,Latokartano,2,1043.00,Von Daehnin katu 12 A,2012,block_of_flats,False,51.50
ESPOO,Haukilahti,2,969.00,Kiiskenevä 2 C,1966,block_of_flats,False,52.50
TAMPERE,Vuores,1,673.00,Takamaanrinne 1 B,2011,block_of_flats,False,40.50
TAMPERE,Santalahti,1,605.00,Paasikoskenraitti 4 A,2023,block_of_flats,False,26.00
HELSINKI,Aurinkolahti,2,1099.00,Jauhajankuja 2 C,2012,block_of_flats,False,62.00
PORVOO,Taidetehdas,2,895.00,Aleksanterinkaari 10 A,2018,block_of_flats,False,46.50
TAMPERE,Nekala,1,580.00,Koskuentie 22 E,2018,loft_house,False,28.00
HELSINKI,Kuninkaantammi,2,835.00,Maisemamaalauksenkatu 8 B,,block_of_flats,False,39.50
TAMPERE,Hatanpää,2,935.00,Siirtolapuutarhankatu 5 A,2000,block_of_flats,False,59.50
HELSINKI,Jätkäsaari,2,1264.00,Tyynenmerenkatu 5 C,2012,block_of_flats,False,51.50
PORI,Impola,2,543.00,Rajalantie 14 as.,1976,block_of_flats,False,58.00
HELSINKI,Arabianranta,2,1079.00,Arabiankatu 4 A,2015,block_of_flats,False,47.50
HELSINKI,Haaga,1,799.00,Näyttelijäntie 22 G,1959,block_of_flats,False,32.00
ESPOO,Matinkylä,2,924.00,Matinkallio 7 A,2017,block_of_flats,False,46.00
LAHTI,Liipola,3,724.00,Pohjoinen Liipolankatu 13-15 D-F D,1980,block_of_flats,False,79.00
LAHTI,Metsäkangas,2,594.00,Valjaskatu 1 C,1974,block_of_flats,False,49.50
VEHMERSALMI,Vehmersalmi,3,535.00,Vierumäentie 3 B,1990,terraced_house,False,72.00
HELSINKI,Tapanila,3,1380.00,Rajatie 5a C,2009,block_of_flats,False,82.00
JYVÄSKYLÄ,Rautpohja,2,685.00,Syrjälänkatu 8 C,1939,block_of_flats,False,58.00
JYVÄSKYLÄ,Kuokkalanpelto,2,790.00,Tahvosentie 32 A,2011,block_of_flats,False,53.00
JYVÄSKYLÄ,Keskusta,2,680.00,Yliopistonkatu 18 C,1961,block_of_flats,False,41.00
ESPOO,Tiistilä,2,917.00,KALAONNENTIE 3 B,1995,block_of_flats,False,51.00
JÄMSÄNKOSKI,Jämsänkoski,3,551.00,Puistolantie 22 C,1971,block_of_flats,False,78.20
ESPOO,Leppävaara,1,775.00,Ratsukatu 4 A,2003,block_of_flats,False,29.50
HELSINKI,Laajasalo,2,899.00,Yliskyläntie 2 C,1996,block_of_flats,False,38.00
TAMPERE,Ranta-Tampella,1,672.00,Aspinniemenkatu 5 A,,block_of_flats,False,24.50
VANTAA,Kartanonkoski,2,895.00,Herttuantie 2 C,2003,block_of_flats,False,58.50
TAMPERE,Vuores,1,678.00,Takamaanrinne 1 B,2011,block_of_flats,False,40.50
KOTKA,Keskusta,2,980.00,Pohjoispuistokatu 3 C,1906,block_of_flats,False,78.00
HELSINKI,Munkkiniemi,1,773.00,Munkkiniemen Puistotie 14 A,1938,block_of_flats,False,25.00
HELSINKI,Aurinkolahti,3,1325.00,Bertha Pauligin katu 1 A,2023,block_of_flats,False,56.00
JÄRVENPÄÄ,Keskusta,1,730.00,Tupalantie 2 B,2017,block_of_flats,False,30.50
TAMPERE,Kaleva,1,650.00,Jäähallinkaari 8 A,2023,block_of_flats,False,27.00
HELSINKI,Kallio,2,999.00,Alppikatu 3 A,1964,block_of_flats,False,57.00
HELSINKI,Kallio,2,1050.00,Alppikatu 3 B,1964,block_of_flats,False,56.50
SEINÄJOKI,Marttila,3,813.00,Puskantie 19 A,1997,block_of_flats,False,70.00
OULU,Rajakylä,2,518.00,Ruiskukkatie 11-13 B,1974,block_of_flats,False,48.00
KAJAANI,Teppana,3,765.00,Uitontie 10 B,1975,block_of_flats,False,78.50
LAHTI,Keskusta,3,861.00,Vesijärvenkatu 12 B,1963,block_of_flats,False,64.50
HELSINKI,Kamppi,1,955.00,Malminkatu 36 C,1928,block_of_flats,False,42.00
TURKU,Herttuankulma,3,922.00,Fatabuurinkatu 6 C,2020,block_of_flats,False,52.50
ESPOO,Espoonlahti,1,751.00,Maakravunkuja 2 as,2023,block_of_flats,False,29.00
HELSINKI,Kuninkaantammi,1,730.00,Temperankatu 2 A,2019,block_of_flats,False,30.00
HELSINKI,Herttoniemi,2,1092.00,Kerttulinkuja 3 B,1997,block_of_flats,False,60.00
TUUSULA,Tuusula,2,874.00,Kievarinkaari 2 C,2014,block_of_flats,False,51.50
JÄRVENPÄÄ,Pajala,1,690.00,Valimokuja 2 A,2017,block_of_flats,False,27.50
JOENSUU,Penttilä,2,715.00,Pyhäselänkatu 21 B,1973,block_of_flats,False,63.50
HELSINKI,Kontula,3,1129.00,Kotikonnuntie 8 A,2015,block_of_flats,False,69.00
VANTAA,Pähkinärinne,2,834.00,Lammasrinne 2 A,2020,block_of_flats,False,37.50
LAPPEENRANTA,Skinnarila,2,759.00,Punkkerikatu 9 B,1994,block_of_flats,False,48.00
HELSINKI,Kallio,1,1026.00,Viides linja 4 A,1926,block_of_flats,False,49.80
LAPPEENRANTA,Voisalmi,1,535.00,Mäkitervakontie 7 A,1971,block_of_flats,False,31.50
TAMPERE,Keskusta,2,965.00,Puuvillatehtaankatu 6 A,2023,block_of_flats,False,45.00
TAMPERE,Keskusta,2,955.00,Puuvillatehtaankatu 6 A,2023,block_of_flats,False,44.00
LAHTI,Jalkaranta,2,689.00,Sarvikatu 2 D,1982,block_of_flats,False,60.00
VANTAA,Pähkinärinne,2,893.00,Lehtikallio 6 A,2015,block_of_flats,False,53.50
HELSINKI,Roihuvuori,2,900.00,Roihuvuorentie 20 E,1956,block_of_flats,False,51.00
MÄNTSÄLÄ,Keskusta,1,648.00,Hemmintie 4 A,2014,block_of_flats,False,39.00
JYVÄSKYLÄ,Lutakko,1,685.00,Vaneritori 4 B,2002,block_of_flats,False,38.50
PORI,Riihiketo,2,670.00,Teljänkatu 1b B,2017,block_of_flats,False,41.50
TAMPERE,Annala,2,699.00,Hikivuorenkatu 12 A,1974,block_of_flats,False,48.50
KIRKKONUMMI,Tolsa,1,585.00,Tarutie 18 A,2019,block_of_flats,False,28.50
ESPOO,Niittykumpu,2,1192.00,Vuoritontuntie 3 A,2023,block_of_flats,False,54.00
ESPOO,Niittykumpu,1,737.00,Vuoritontuntie 3 B,2023,block_of_flats,False,23.00
ESPOO,Niittykumpu,1,795.00,Vuoritontuntie 3 C,2023,block_of_flats,False,29.00
HELSINKI,Vuosaari,2,966.00,Aurinkotuulenkatu 8 A,2011,block_of_flats,False,45.50
HELSINKI,Pitäjänmäki,2,864.00,Kokkokalliontie 1 A,1974,block_of_flats,False,39.00
OULU,Laanila,2,744.00,Laamannintie 3 D,2001,block_of_flats,False,58.50
KERAVA,Keskusta,2,793.00,Seunalantie 11 A,2018,block_of_flats,False,39.00
HELSINKI,Kallio,1,973.00,Viides linja 4 A,1926,block_of_flats,False,43.90
LAHTI,Niemi,2,661.00,Aniankatu 4-6 B,1965,block_of_flats,False,52.00
KUOPIO,Pirtti,2,575.00,Kielorannankatu 8 B,1992,loft_house,False,42.50
KIRKKONUMMI,Lindal,2,760.00,Laaksokuja 3 A 0,1976,block_of_flats,False,54.00
PORI,Vähärauma,3,599.00,Paturintie 19 B,1974,block_of_flats,False,73.00
ESPOO,Mäkkylä,2,970.00,Adjutantinkatu 3 A,2012,block_of_flats,False,46.00
HYVINKÄÄ,Keskusta,1,775.00,Ahjonkatu 1 B,2013,block_of_flats,False,42.00
MIKKELI,Peitsari,2,683.00,Kappalaisenkatu 5 C,1979,loft_house,False,61.50
JYVÄSKYLÄ,Keltinmäki,1,560.00,Keltinmäentie 27 D,1974,block_of_flats,False,43.00
SARVVIK,Sarfvik,2,837.00,Kiurunkannuksentie 1 A,2016,block_of_flats,False,43.00
VANTAA,Leinelä,1,780.00,Leinelän puistotie 12 A,2017,block_of_flats,False,34.50
OULU,Limingantulli,2,693.00,Limingantie 2 B,2018,block_of_flats,False,35.00
VANTAA,Myyrmäki,1,699.00,Loiskekuja 2 b A,2017,block_of_flats,False,27.50
KLAUKKALA,Klaukkala,2,750.00,Luhtajoentie 3 A,2020,block_of_flats,False,43.50
ESPOO,Matinkylä,2,865.00,Nelikkotie 8 B,2003,block_of_flats,False,44.50
VANTAA,Koivuhaka,3,1094.00,Peltolantie 38 B,2020,block_of_flats,False,63.50
TAMPERE,Keskusta,2,950.00,Puuvillatehtaankatu 6 F,2023,block_of_flats,False,45.50
TAMPERE,Santalahti,1,591.00,Rantakylänraitti 3 A,2019,block_of_flats,False,24.00
TAMPERE,Hatanpää,2,952.00,Siirtolapuutarhankatu 7 C,2000,block_of_flats,False,56.00
JYVÄSKYLÄ,Rautpohja,1,490.00,Syrjälänkatu 11 D,1939,block_of_flats,False,27.00
JYVÄSKYLÄ,Rautpohja,2,645.00,Syrjälänkatu 12 C,1939,block_of_flats,False,44.50
TAMPERE,Hervanta,3,1021.00,Tieteenkatu 6 A,2014,block_of_flats,False,64.50
SÄYNÄTSALO,Säynätsalo,2,558.00,Valtterintie 2 B,1979,block_of_flats,False,59.00
ESPOO,Niittykumpu,1,785.00,Vuoritontuntie 3 C,2023,block_of_flats,False,29.00
TURKU,Pohjola,2,870.00,Paratiisintie 3 C,1989,block_of_flats,False,58.00
HELSINKI,Pitäjänmäki,2,941.00,HENRIKINTIE 7 E,1991,block_of_flats,False,50.50
LAHTI,Ahtiala,1,419.00,Puolukkapolku 2 B,1976,block_of_flats,False,27.00
VANTAA,Kivistö,2,839.00,Topaasikuja 9 as,2020,block_of_flats,False,38.50
HELSINKI,Malminkartano,3,1219.00,Juustenintie 6 A,2014,block_of_flats,False,71.50
ESPOO,Niittykumpu,1,928.00,Niittyportinpolku 2 B,2018,block_of_flats,False,39.50
TURKU,Kirstinpuisto,1,640.00,Nuutintie 7 A,2021,block_of_flats,False,30.00
TURKU,Kirstinpuisto,3,1133.00,Nuutintie 7 B,2021,block_of_flats,False,68.00
MASALA,Masala,3,969.00,Vernerinkuja 9 C,2014,block_of_flats,False,67.00
MASALA,Masala,3,955.00,Vernerinkuja 9 C,2014,block_of_flats,False,67.00
HELSINKI,Pajamäki,1,699.00,Pajamäentie 4 A,1960,block_of_flats,False,24.00
